service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type
1,2,,,10B,06:50:00,08:08:00,Walk in
2,1,,,1,06:53:00,07:50:00,Walk in
3,1,,,7A,06:57:00,08:45:00,Walk in
4,3,,,3B,07:02:00,08:00:00,Walk in
5,2,,,4A,07:12:00,08:12:00,Walk in
6,2,,,5B,07:13:00,08:05:00,In house
7,0,,,11A,07:15:00,10:00:00,Walk in
8,3,,,6,07:35:00,09:14:00,Walk in
9,1,,,7B,07:35:00,08:00:00,In house
10,3,,,2,07:49:00,09:10:00,Walk in
11,2,,,1A,07:51:00,09:27:00,Walk in
12,1,,,16,07:59:00,09:35:00,Walk in
13,2,,,8B,07:59:00,08:27:00,In house
14,4,,,15,08:00:00,10:46:00,Walk in
15,2,,,1B,08:02:00,09:20:00,Walk in
16,1,,,8C,08:03:00,09:22:00,Walk in
17,3,,,3B,08:04:00,09:24:00,Walk in
18,4,,,13-14,08:05:00,09:50:00,In house
19,2,,,4B,08:10:00,10:30:00,Walk in
20,2,,,10A,08:10:00,09:54:00,Walk in
21,0,,,4A,08:12:00,11:05:00,In house
22,2,,,9,08:12:00,09:50:00,In house
23,2,,,4A,09:13:00,09:42:00,Walk in
24,2,,,10B,08:14:00,10:15:00,Walk in
25,2,,,12,08:15:00,10:07:00,Walk in
26,2,,,7C,08:16:00,09:33:00,Walk in
27,2,,,7B,08:16:00,09:12:00,Walk in
28,0,08:16:00,09:04:00,,,,In house
29,2,08:16:00,09:05:00,11B,09:05:00,11:35:00,Walk in
30,2,08:16:00,08:29:00,8B,08:29:00,09:00:00,In house
31,1,08:17:00,08:45:00,7A,08:45:00,09:30:00,In house
32,3,08:18:00,09:10:00,2,09:10:00,10:33:00,Walk in
33,3,08:20:00,09:13:00,3,09:13:00,10:20:00,Walk in
34,2,08:30:00,09:15:00,7B,09:15:00,09:41:00,Walk in
35,4,08:35:00,09:16:00,6,09:16:00,10:03:00,Walk in
36,4,08:40:00,09:27:00,4B/5A,09:27:00,10:44:00,Walk in
37,2,08:44:00,09:20:00,,,,In house
38,3,08:46:00,09:50:00,9,09:50:00,12:00:00,Walk in
39,1,08:48:00,09:00:00,8B,09:00:00,10:52:00,Walk in
40,0,08:50:00,09:20:00,,,,In house
41,1,08:53:00,09:25:00,1B,09:25:00,10:01:00,Walk in
42,1,08:54:00,09:25:00,1A,09:25:00,10:05:00,In house
43,2,08:57:00,09:25:00,8C,09:25:00,11:41:00,Walk in
44,3,08:58:00,09:33:00,7A,09:33:00,10:44:00,Walk in
45,2,08:16:00,09:07:00,8A,09:07:00,09:47:00,Walk in
46,2,09:08:00,09:40:00,16,09:40:00,10:13:00,In house
47,3,09:08:00,10:05:00,6,10:05:00,12:00:00,Walk in
48,2,09:10:00,09:17:00,,,,In house
49,0,09:10:00,09:55:00,,,,Walk in
50,5,09:10:00,09:55:00,4A/11B,09:55:00,11:25:00,Walk in
51,1,09:17:00,10:05:00,1A,10:05:00,11:14:00,In house
52,3,09:25:00,10:09:00,12,10:09:00,11:20:00,Walk in
53,3,09:25:00,10:11:00,11A,10:11:00,11:35:00,Walk in
54,5,09:33:00,10:17:00,16,10:17:00,11:00:00,In house
55,4,09:35:00,10:30:00,,,,In house
56,2,09:36:00,10:35:00,2,10:35:00,11:10:00,Walk in
57,1,09:37:00,10:45:00,7A,10:45:00,11:15:00,Walk in
58,2,09:37:00,09:48:00,,,,Walk in
59,2,09:38:00,10:45:00,4B/5A,10:45:00,11:30:00,In house
60,0,09:40:00,10:48:00,,,,Walk in
61,2,09:42:00,10:50:00,15A,10:50:00,11:55:00,Walk in
62,2,09:45:00,10:50:00,15B,10:50:00,11:26:00,Walk in
63,2,09:46:00,10:55:00,8B,10:55:00,12:07:00,In house
64,2,09:47:00,11:03:00,7C,11:03:00,11:43:00,Walk in
65,2,09:57:00,11:05:00,,,,Walk in
66,4,10:07:00,11:05:00,3,11:05:00,12:25:00,Walk in
67,2,10:15:00,11:06:00,10A,10:06:00,12:06:00,Walk in
68,2,09:10:00,10:30:00,5B,10:30:00,12:10:00,Walk in
69,1,10:23:00,11:09:00,4A,11:09:00,12:20:00,Walk in
70,1,10:24:00,11:09:00,8A,11:09:00,12:10:00,Walk in
71,1,10:25:00,11:15:00,,,,Walk in
72,1,10:40:00,11:10:00,2B,11:10:00,11:50:00,Walk in
73,2,10:41:00,11:12:00,16,11:12:00,11:43:00,Walk in
74,1,10:53:00,11:05:00,,,,Walk in
75,3,10:55:00,11:40:00,13-14,11:40:00,12:30:00,In house
76,2,11:00:00,11:14:00,2A,11:14:00,11:35:00,In house
77,1,11:14:00,11:15:00,,,,In house
78,0,11:14:00,11:20:00,,,,Walk in
79,2,11:15:00,11:20:00,7A,11:20:00,11:55:00,In house
80,2,11:15:00,11:23:00,1B,11:23:00,12:20:00,In house
81,2,,,12,11:12:00,12:30:00,In house
82,1,,,12,11:25:00,12:00:00,In house
83,1,11:25:00,11:27:00,15B,11:27:00,12:00:00,In house
84,1,,,4B,11:30:00,12:15:00,In house
85,1,,,12,11:40:00,12:30:00,Walk in
86,1,,,16,11:45:00,12:30:00,In house
