service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type,Unnamed: 8,Unnamed: 9
1,1,,,4A,06:26:00,08:42:00,Walk in,0,02:16:00
2,2,,,11,06:44:00,07:44:00,Walk in,0,01:00:00
3,1,,,7A,06:58:00,08:46:00,Walk in,0,01:48:00
4,2,,,16,07:07:00,07:53:00,In house,0,00:46:00
5,1,,,8A,02:29:00,07:50:00,In house,0,05:21:00
6,1,,,8C,07:34:00,07:47:00,In house,0,00:13:00
7,1,,,6,07:35:00,07:45:00,In house,0,00:10:00
8,1,,,10B,07:44:00,07:59:00,In house,0,00:15:00
9,2,,,1,07:45:00,08:07:00,In house,0,00:22:00
10,2,,,6,07:46:00,09:27:00,In house,00:00:00,01:41:00
11,1,,,7B,07:49:00,08:13:00,In house,0,00:24:00
12,1,,,8A,07:55:00,09:21:00,Walk in,0,01:26:00
13,1,,,4B,07:58:00,08:59:00,Walk in,0,01:01:00
14,2,,,16,08:03:00,08:35:00,Walk in,0,00:32:00
15,2,,,10B,08:05:00,08:50:00,In house,0,00:45:00
16,2,,,11A,08:06:00,08:36:00,In house,0,00:30:00
17,1,,,1A,08:15:00,09:00:00,Walk in,0,00:45:00
18,1,,,1B,08:16:00,09:54:00,Walk in,0,01:38:00
19,1,,,7B,08:18:00,09:37:00,Walk in,0,01:19:00
20,2,,,3,08:25:00,09:05:00,In house,0,00:40:00
21,2,,,8B,08:28:00,09:06:00,In house,0,00:38:00
22,2,,,15,08:29:00,09:19:00,Walk in,0,00:50:00
23,4,,,2,08:30:00,09:10:00,In house,0,00:40:00
24,1,,,16,08:40:00,09:29:00,Walk in,0,00:49:00
25,2,,,11B,08:42:00,09:35:00,In house,0,00:53:00
26,3,,,5,08:43:00,08:58:00,In house,0,00:15:00
27,1,,,7B,08:44:00,09:13:00,In house,0,00:29:00
28,5,,,12/13,08:47:00,10:26:00,Walk in,00:00:00,01:39:00
29,1,,,4A,08:49:00,09:25:00,Walk in,00:00:00,00:36:00
30,1,,,7A,08:49:00,10:55:00,In house,00:00:00,02:06:00
31,1,,,14,08:43:00,09:35:00,In house,00:00:00,00:52:00
32,2,,,5B,09:00:00,10:00:00,In house,00:00:00,01:00:00
33,1,,,8B,09:08:00,10:03:00,Walk in,00:00:00,00:55:00
34,2,,,1A,09:11:00,10:11:00,In house,00:00:00,01:00:00
35,4,,,9,09:12:00,10:08:00,Walk in,00:00:00,00:56:00
36,2,,,3,09:13:00,10:05:00,Walk in,00:00:00,00:52:00
37,2,,,4B/5A,09:20:00,09:54:00,Walk in,00:00:00,00:34:00
38,2,,,15,09:22:00,10:15:00,Walk in,00:00:00,00:53:00
39,1,,,4A,09:37:00,10:46:00,Walk in,00:00:00,01:09:00
40,1,,,6B,09:47:00,12:10:00,Walk in,00:00:00,02:23:00
41,1,,,6A,09:48:00,10:45:00,Walk in,00:00:00,00:57:00
42,4,,,2,09:49:00,11:41:00,Walk in,00:00:00,01:52:00
43,2,,,16,09:56:00,10:45:00,Walk in,00:00:00,00:49:00
44,2,,,7B,09:58:00,10:17:00,In house,00:00:00,00:19:00
45,2,,,14,09:59:00,10:28:00,In house,00:00:00,00:29:00
46,2,,,1B,10:03:00,10:49:00,In house,00:00:00,00:46:00
47,3,,,4B/5A,10:05:00,11:02:00,In house,00:00:00,00:57:00
48,2,,,11A,10:10:00,10:52:00,In house,00:00:00,00:42:00
49,2,,,8A,10:16:00,11:02:00,Walk in,00:00:00,00:46:00
50,1,,,1A,10:19:00,11:30:00,Walk in,00:00:00,01:11:00
51,4,,,9,10:28:00,12:15:00,Walk in,00:00:00,01:47:00
52,1,,,14,10:30:00,11:28:00,In house,00:00:00,00:58:00
53,1,,,8C,10:30:00,11:13:00,In house,00:00:00,00:43:00
54,2,,,7B,10:36:00,11:50:00,Walk in,00:00:00,01:14:00
55,1,,,10B,10:38:00,11:58:00,In house,00:00:00,01:20:00
56,2,,,15,10:34:00,11:24:00,Walk in,00:00:00,00:50:00
57,2,,,3,10:35:00,11:12:00,In house,00:00:00,00:37:00
58,1,,,1B,10:39:00,13:30:00,Walk in,00:00:00,02:51:00
59,3,,,12/13,10:41:00,11:40:00,Walk in,00:00:00,00:59:00
60,2,,,16,10:54:00,11:58:00,Walk in,00:00:00,01:04:00
61,1,,,4A,10:56:00,11:39:00,Walk in,00:00:00,00:43:00
62,1,,,5B,11:53:00,11:28:00,In house,00:00:00,1899-12-29 23:35:00
63,2,,,7A,11:00:00,11:59:00,In house,00:00:00,00:59:00
64,1,,,8A,11:08:00,11:44:00,Walk in,00:00:00,00:36:00
65,3,,,11A/11B,11:10:00,12:14:00,In house,00:00:00,01:04:00
66,2,,,15,11:28:00,11:51:00,In house,00:00:00,00:23:00
67,1,,,7C,11:29:00,12:14:00,In house,00:00:00,00:45:00
68,1,,,4,11:39:00,13:30:00,Walk in,00:00:00,01:51:00
69,1,,,8B,11:40:00,11:54:00,In house,00:00:00,00:14:00
70,1,,,5A,11:43:00,12:20:00,In house,00:00:00,00:37:00
